feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0,0,TRIM5,CXCL12,0,0
0,0,IFNG,CXCL12,0,0
0,0,SERPINA1,CXCL12,0,0
0,0,HP,CXCL12,0,0
0,0,CCL2,CXCL12,0,0
0,0,CCL11,CXCL12,0,0
0,0,FAS,CXCL12,0,0
0,0,CCL3,CXCL12,0,0
0,0,CCL4L2,CXCL12,0,0
0,0,ALB,CXCL12,0,0
0,0,KIR3DL1,CXCL12,0,0
0,0,CYP2B6,CXCL12,0,0
0,0,CD40LG,CXCL12,0,0
0,0,HLA-B,CXCL12,0,0
0,0,CRP,PRF1,0,0
0.128853666,0.113545397,FCGR3A,PRF1,0.228269751,0.129739148
0.000117357,0.000250489,IL10,PRF1,0.000207903,0.000286214
0.011656228,0.009160187,CD28,PRF1,0.020649504,0.010466605
0.099349721,0.100628731,CX3CR1,PRF1,0.176002256,0.114980317
0.006491298,0.003024047,CCR2,PRF1,0.01149961,0.003455334
0.006159621,0.001028389,CCR5,PRF1,0.010912031,0.001175057
0,0,ALB,PRF1,0,0
0,0,IL2,PRF1,0,0
0.012932844,0.004011253,ABCB1,PRF1,0.022911083,0.004583334
0,0,HP,PRF1,0,0
0.003732624,0.002761832,IL2RA,PRF1,0.006612502,0.003155723
0,0,MBL2,PRF1,0,0
0,0,CXCL12,PRF1,0,0
0.021437345,0.017243079,FAS,PRF1,0.037977168,0.019702272
0.441858978,0.477495402,CCL5,PRF1,0.782771974,0.545595401
0.001673319,0.000352658,MKI67,PRF1,0.002964356,0.000402954
0.017378539,0.006249786,TRIM5,PRF1,0.03078682,0.007141125
0.013298656,0.004295067,IFNG,PRF1,0.023559134,0.004907626
0.019624323,0.041921626,SERPINA1,PRF1,0.034765322,0.047900454
5.66E-05,0.000289546,HP,PRF1,0.000100288,0.000330841
0,0,CCL2,PRF1,0,0
0,0,CCL11,PRF1,0,0
0.005497429,0.003630915,FAS,PRF1,0.009738929,0.004148753
