feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0,0,ABCB1,MBL2,0,0
0,0,HP,MBL2,0,0
0,0,IL2RA,MBL2,0,0
0,0,CXCL12,MBL2,0,0
0,0,PRF1,MBL2,0,0
0,0,FAS,MBL2,0,0
0,0,CCL5,MBL2,0,0
0,0,MKI67,MBL2,0,0
0,0,TRIM5,MBL2,0,0
0,0,IFNG,MBL2,0,0
0,0,SERPINA1,MBL2,0,0
0,0,HP,MBL2,0,0
0,0,CCL2,MBL2,0,0
0,0,CCL11,MBL2,0,0
0,0,FAS,MBL2,0,0
0,0,CCL3,MBL2,0,0
0,0,CCL4L2,MBL2,0,0
0,0,ALB,MBL2,0,0
0,0,KIR3DL1,MBL2,0,0
0,0,CYP2B6,MBL2,0,0
0,0,CD40LG,MBL2,0,0
0,0,HLA-B,MBL2,0,0
0,0,CRP,CXCL12,0,0
0,0,FCGR3A,CXCL12,0,0
0,0,IL10,CXCL12,0,0
0,0,CD28,CXCL12,0,0
0,0,CX3CR1,CXCL12,0,0
0,0,CCR2,CXCL12,0,0
0,0,CCR5,CXCL12,0,0
0,0,ALB,CXCL12,0,0
0,0,IL2,CXCL12,0,0
0,0,ABCB1,CXCL12,0,0
0,0,HP,CXCL12,0,0
0,0,IL2RA,CXCL12,0,0
0,0,MBL2,CXCL12,0,0
0,0,PRF1,CXCL12,0,0
0,0,FAS,CXCL12,0,0
0,0,CCL5,CXCL12,0,0
0,0,MKI67,CXCL12,0,0
0,0,TRIM5,CXCL12,0,0
0,0,IFNG,CXCL12,0,0
0,0,SERPINA1,CXCL12,0,0
0,0,HP,CXCL12,0,0
0,0,CCL2,CXCL12,0,0
0,0,CCL11,CXCL12,0,0
0,0,FAS,CXCL12,0,0
0,0,CCL3,CXCL12,0,0
0,0,CCL4L2,CXCL12,0,0
0,0,ALB,CXCL12,0,0
0,0,KIR3DL1,CXCL12,0,0
0,0,CYP2B6,CXCL12,0,0
0,0,CD40LG,CXCL12,0,0
0,0,HLA-B,CXCL12,0,0
0,0,CRP,PRF1,0,0
0.130523624,0.168927474,FCGR3A,PRF1,0.244107262,0.271142197
5.43E-05,8.55E-05,IL10,PRF1,0.000101566,0.000137303
0.010084673,0.013177311,CD28,PRF1,0.018860509,0.021150645
0.10065021,0.143032198,CX3CR1,PRF1,0.18823755,0.229578193
0.004038326,0.003363162,CCR2,PRF1,0.007552538,0.005398146
0.004920188,0.002748012,CCR5,PRF1,0.00920181,0.00441078
0,0,ALB,PRF1,0,0
0.000485715,0.000358043,IL2,PRF1,0.000908392,0.000574687
0.009961222,0.005203137,ABCB1,PRF1,0.018629629,0.008351453
3.44E-06,4.91E-06,HP,PRF1,6.43E-06,7.89E-06
0.002167385,0.00169274,IL2RA,PRF1,0.004053475,0.002716984
0,0,MBL2,PRF1,0,0
0,0,CXCL12,PRF1,0,0
0.010394964,0.002548513,FAS,PRF1,0.01944082,0.004090568
0.500733772,0.483557742,CCL5,PRF1,0.936479902,0.776149108
0.000579551,0.000243027,MKI67,PRF1,0.001083885,0.000390077
0.007839295,0.003351155,TRIM5,PRF1,0.014661168,0.005378874
0.010863289,0.012021857,IFNG,PRF1,0.020316688,0.019296049
0.0885668,0.182662631,SERPINA1,PRF1,0.165638974,0.29318823
0.00045811,0.000964567,HP,PRF1,0.000856765,0.001548208
0.000101121,0.000178673,CCL2,PRF1,0.000189117,0.000286785
0,0,CCL11,PRF1,0,0
0.003382195,0.00125067,FAS,PRF1,0.006325433,0.002007426
0.012698862,0.010880886,CCL3,PRF1,0.023749604,0.017464699
0.01518315,0.020214349,CCL4L2,PRF1,0.028395757,0.032445658
0.003157788,0.001193241,ALB,PRF1,0.005905744,0.001915248
0.004959833,0.005464078,KIR3DL1,PRF1,0.009275955,0.008770285
5.27E-05,1.53E-05,CYP2B6,PRF1,9.86E-05,2.46E-05
0.009505835,0.019007211,CD40LG,PRF1,0.017777956,0.030508105
0.068633631,0.269718859,HLA-B,PRF1,0.12835966,0.432920485
0,0,CRP,FAS,0,0
0.066019222,0.00984189,FCGR3A,FAS,0.123470152,0.015797026
0.000117858,1.19E-05,IL10,FAS,0.00022042,1.90E-05
0.047585322,0.008974756,CD28,FAS,0.088994792,0.014405206
0.077518954,0.014860037,CX3CR1,FAS,0.144977124,0.023851555
0.022632786,0.003369929,CCR2,FAS,0.04232818,0.005409008
0.010006815,0.000940708,CCR5,FAS,0.018714897,0.001509912
0,0,ALB,FAS,0,0
0.000949365,2.78E-05,IL2,FAS,0.001775517,4.46E-05
0.020204087,0.001352468,ABCB1,FAS,0.03778599,0.002170819
0.001315608,5.72E-05,HP,FAS,0.002460471,9.18E-05
0.017495568,0.001245747,IL2RA,FAS,0.032720477,0.001999525
0,0,MBL2,FAS,0,0
